Trial,program,user,sys,uss,Publish cloud,Particle count,Beam count
0,node,1.32,1.07,5042176,False,500,30
1,node,1.22,1.22,4923392,False,500,30
2,node,1.24,1.13,5009408,False,500,30
3,node,1.15,1.23,5033984,False,500,30
4,node,1.12,1.24,4947968,False,500,30
0,node,1.26,1.21,5062656,False,1000,30
1,node,1.11,1.37,4952064,False,1000,30
2,node,1.39,1.18,4931584,False,1000,30
3,node,1.34,1.26,5001216,False,1000,30
4,node,1.22,1.35,4947968,False,1000,30
0,node,1.50,1.33,5132288,False,2000,30
1,node,1.51,1.26,5099520,False,2000,30
2,node,1.53,1.25,5156864,False,2000,30
3,node,1.49,1.29,5070848,False,2000,30
4,node,1.50,1.29,5111808,False,2000,30
0,node,1.69,1.37,5283840,False,3000,30
1,node,1.70,1.33,5341184,False,3000,30
2,node,1.82,1.26,5275648,False,3000,30
3,node,1.73,1.28,5320704,False,3000,30
4,node,1.81,1.22,5197824,False,3000,30
0,node,2.24,1.05,5423104,False,4000,30
1,node,2.20,1.08,5394432,False,4000,30
2,node,2.13,1.19,5455872,False,4000,30
3,node,2.11,1.23,5427200,False,4000,30
4,node,2.14,1.18,5447680,False,4000,30
0,node,2.35,1.13,5525504,False,5000,30
1,node,2.35,1.20,5550080,False,5000,30
2,node,2.48,1.05,5537792,False,5000,30
3,node,2.67,0.98,5595136,False,5000,30
4,node,2.56,1.10,5472256,False,5000,30
0,node,2.71,1.09,5603328,False,6000,30
1,node,2.71,1.09,5730304,False,6000,30
2,node,2.75,1.06,5611520,False,6000,30
3,node,2.64,1.14,5636096,False,6000,30
4,node,2.72,1.08,5660672,False,6000,30
0,node,2.81,1.25,5840896,False,7000,30
1,node,3.01,1.08,5849088,False,7000,30
2,node,3.10,1.08,5844992,False,7000,30
3,node,3.04,1.13,5795840,False,7000,30
4,node,3.28,0.98,5840896,False,7000,30
0,node,3.33,1.06,5963776,False,8000,30
1,node,3.27,1.13,5935104,False,8000,30
2,node,3.49,0.98,5988352,False,8000,30
3,node,3.43,0.94,5910528,False,8000,30
4,node,3.38,0.96,5992448,False,8000,30
0,node,3.59,0.99,6062080,False,9000,30
1,node,3.71,0.92,6037504,False,9000,30
2,node,3.49,0.95,6144000,False,9000,30
3,node,3.55,0.95,6045696,False,9000,30
4,node,3.43,1.04,6074368,False,9000,30
0,node,3.86,0.89,6303744,False,10000,30
1,node,3.83,0.91,6275072,False,10000,30
2,node,3.97,0.79,6242304,False,10000,30
3,node,3.90,0.89,6295552,False,10000,30
4,node,3.97,0.83,6209536,False,10000,30
