Trial,program,user,sys,uss,Publish cloud,Particle count,Beam count
0,node,1.17,1.33,3977216,False,500,30
1,node,1.07,1.45,3989504,False,500,30
2,node,1.18,1.32,3956736,False,500,30
3,node,1.14,1.45,3940352,False,500,30
4,node,1.25,1.30,3964928,False,500,30
0,node,1.30,1.38,3919872,False,1000,30
1,node,1.23,1.41,3887104,False,1000,30
2,node,1.29,1.39,3923968,False,1000,30
3,node,1.25,1.49,3985408,False,1000,30
4,node,1.40,1.34,4001792,False,1000,30
0,node,1.49,1.53,4091904,False,2000,30
1,node,1.42,1.46,4104192,False,2000,30
2,node,1.55,1.45,4104192,False,2000,30
3,node,1.45,1.54,4104192,False,2000,30
4,node,1.50,1.47,4038656,False,2000,30
0,node,1.99,1.38,4169728,False,3000,30
1,node,1.73,1.56,4214784,False,3000,30
2,node,1.74,1.54,4206592,False,3000,30
3,node,1.91,1.41,4190208,False,3000,30
4,node,1.80,1.58,4145152,False,3000,30
0,node,2.26,1.33,4382720,False,4000,30
1,node,2.25,1.29,4276224,False,4000,30
2,node,2.38,1.12,4325376,False,4000,30
3,node,2.27,1.29,4300800,False,4000,30
4,node,2.30,1.24,4337664,False,4000,30
0,node,2.47,1.36,4358144,False,5000,30
1,node,2.42,1.31,4448256,False,5000,30
2,node,2.68,1.23,4485120,False,5000,30
3,node,2.50,1.36,4468736,False,5000,30
4,node,2.55,1.37,4415488,False,5000,30
0,node,2.71,1.30,4505600,False,6000,30
1,node,2.54,1.49,4587520,False,6000,30
2,node,2.69,1.40,4538368,False,6000,30
3,node,2.68,1.37,4583424,False,6000,30
4,node,2.78,1.35,4472832,False,6000,30
0,node,2.92,1.34,4665344,False,7000,30
1,node,2.77,1.58,4603904,False,7000,30
2,node,3.05,1.28,4644864,False,7000,30
3,node,2.97,1.38,4632576,False,7000,30
4,node,3.10,1.18,4710400,False,7000,30
0,node,3.44,1.33,4788224,False,8000,30
1,node,3.45,1.24,4726784,False,8000,30
2,node,3.36,1.29,4837376,False,8000,30
3,node,3.48,1.34,4841472,False,8000,30
4,node,3.39,1.29,4743168,False,8000,30
0,node,3.72,1.19,5005312,False,9000,30
1,node,3.84,1.18,4907008,False,9000,30
2,node,3.67,1.26,4861952,False,9000,30
3,node,3.92,1.14,4935680,False,9000,30
4,node,3.75,1.21,4902912,False,9000,30
0,node,4.09,1.23,5066752,False,10000,30
1,node,4.22,0.99,5025792,False,10000,30
2,node,4.34,0.85,4993024,False,10000,30
3,node,4.27,0.97,4993024,False,10000,30
4,node,4.09,1.07,4993024,False,10000,30
